SlNo,TRANSACTION_ID,PNR_NO,CLIENT TRANSACTION ID,BOOKING_AMOUNT,PG NAME,CLASS,TRANSACTION_DATE,USER_ID,PRINCIPAL_USER_ID, AMC_Charge(Including GST)
1,100002461533110,2541720447,iboomtl00018:khy4kunl,1866.38,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
2,100002461533080,2313062290,iboomtl00018:khy1zgwb,188.19,BOOM ,2S,26-NOV-2020,iboomtl00018,iboomtl00000,.00
3,100002461533068,2113062539,iboomtl00018:khxzd6q3,720.89,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
4,100002461533921,2313066542,iboomtl00018:khycn12q,739.17,BOOM ,2S,26-NOV-2020,iboomtl00018,iboomtl00000,.00
5,100002461640392,2113067387,iboomtl00018:khydror6,932.70,BOOM ,2S,26-NOV-2020,iboomtl00018,iboomtl00000,.00
6,100002461533700,2313064633,iboomtl00018:khyc1kkc,1060.89,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
7,100002461549191,2313063374,iboomtl00065:khy8cfnw,368.68,BOOM ,2S,26-NOV-2020,iboomtl00065,iboomtl00000,.00
8,100002461533057,2213062496,iboomtl00018:khxydss5,2275.40,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
9,100002461533039,2541720464,iboomtl00018:khxvgfle,915.40,BOOM ,CC,26-NOV-2020,iboomtl00018,iboomtl00000,.00
10,100002461533062,2641720137,iboomtl00018:khxyjayk,1395.89,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
11,100002461533065,6344191915,iboomtl00018:khxyrv2e,1875.40,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
12,100002461640361,2760365808,iboomtl00018:khydku3a,1237.70,BOOM ,2S,26-NOV-2020,iboomtl00018,iboomtl00000,.00
13,100002461533135,2641720418,iboomtl00018:khy5dido,2275.40,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
14,100002461640305,2113066729,iboomtl00018:khyddm78,2866.38,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
15,100002461533050,2541720274,iboomtl00018:khxxk4w1,3300.89,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
16,100002461669144,2860365230,iboomtl00066:khycwzhi,208.19,BOOM ,2S,26-NOV-2020,iboomtl00066,iboomtl00000,.00
17,100002461490529,2413063325,iboomtl00076:khy7yvy3,1845.40,BOOM ,2A,26-NOV-2020,iboomtl00076,iboomtl00000,.00
18,100002461533083,2413062154,iboomtl00018:khy2tlit,1225.89,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
19,100002461533053,2413062515,iboomtl00018:khxxzgjd,1645.89,BOOM ,EC,26-NOV-2020,iboomtl00018,iboomtl00000,.00
20,100002461490541,2413063540,iboomtl00076:khy8d4lz,1845.40,BOOM ,2A,26-NOV-2020,iboomtl00076,iboomtl00000,.00
21,100002461986166,2113074714,iboomtl00071:khyj0d8w,2785.40,BOOM ,3A,26-NOV-2020,iboomtl00071,iboomtl00000,.00
22,100002462244141,2760376585,iboomtl00074:khym4bv3,338.19,BOOM ,2S,26-NOV-2020,iboomtl00074,iboomtl00000,.00
23,100002461828105,2541728741,iboomtl00018:khyfbksb,1387.70,BOOM ,SL,26-NOV-2020,iboomtl00018,iboomtl00000,.00
24,100002462279209,6144207270,iboomtl00012:khymap1t,7956.87,BOOM ,3A,26-NOV-2020,iboomtl00012,iboomtl00000,.00
25,100002461828418,2860371881,iboomtl00018:khygxdbp,1450.89,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
26,100002461828164,6544200807,iboomtl00018:khyfj97d,1745.40,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
27,100002462347651,2413079645,iboomtl00073:khyp783j,1185.89,BOOM ,3A,26-NOV-2020,iboomtl00073,iboomtl00000,.00
28,100002462244443,2313079979,iboomtl00074:khyos4t4,1088.68,BOOM ,SL,26-NOV-2020,iboomtl00074,iboomtl00000,.00
29,100002462100101,2760376403,iboomtl00076:khylj5pm,15758.34,BOOM ,3A,26-NOV-2020,iboomtl00076,iboomtl00000,.00
30,100002462100178,2760376767,iboomtl00076:khym4eze,13137.85,BOOM ,3A,26-NOV-2020,iboomtl00076,iboomtl00000,.00
31,100002461982189,6444204636,iboomtl00018:khyj3cop,630.89,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
32,100002461982385,8133247547,iboomtl00018:khyjgabn,4340.40,BOOM ,3A,26-NOV-2020,iboomtl00018,iboomtl00000,.00
33,100002461706121,2641725403,iboomtl00031:khye6ymu,4825.40,BOOM ,3A,26-NOV-2020,iboomtl00031,iboomtl00000,.00
34,100002462554197,2541742388,iboomtl00065:khyvm43t,368.68,BOOM ,2S,26-NOV-2020,iboomtl00065,iboomtl00000,.00
35,100002462566546,2760385424,iboomtl00031:khyz4kpd,123.19,BOOM ,2S,26-NOV-2020,iboomtl00031,iboomtl00000,.00
36,100002462527666,6444215319,iboomtl00060:khyz8s4p,98.19,BOOM ,2S,26-NOV-2020,iboomtl00060,iboomtl00000,.00
37,100002462506389,2641742885,iboomtl00071:khywg4br,362.70,BOOM ,2S,26-NOV-2020,iboomtl00071,iboomtl00000,.00
38,100002462407781,6444213916,iboomtl00011:khywsym1,303.19,BOOM ,2S,26-NOV-2020,iboomtl00011,iboomtl00000,.00
39,100002462566563,8433255145,iboomtl00031:khyza9an,108.19,BOOM ,2S,26-NOV-2020,iboomtl00031,iboomtl00000,.00
40,100002462407758,2413084619,iboomtl00011:khywkuwo,303.19,BOOM ,2S,26-NOV-2020,iboomtl00011,iboomtl00000,.00
41,100002462506170,6244212842,iboomtl00071:khyutvl9,1707.70,BOOM ,SL,26-NOV-2020,iboomtl00071,iboomtl00000,.00
