SlNo,TRANSACTION_ID,PNR_NO,CLIENT TRANSACTION ID,BOOKING_AMOUNT,PG NAME,CLASS,TRANSACTION_DATE,USER_ID,PRINCIPAL_USER_ID, AMC_Charge(Including GST)
73,100002426133146,2759303307,ivapron00124:kggcvwe3,2180.64,VAPRON,2S,19-OCT-2020,ivapron00124,ivapron00000,.00
74,100002426077129,2859303847,ivapron00036:kggd1gx4,799.17,VAPRON,2S,19-OCT-2020,ivapron00036,ivapron00000,.00
75,100002426154222,6243284848,ivapron00095:kggden6s,247.70,VAPRON,2S,19-OCT-2020,ivapron00095,ivapron00000,.00
76,100002426077206,2640663111,ivapron00036:kgge10th,1059.66,VAPRON,2S,19-OCT-2020,ivapron00036,ivapron00000,.00
77,100002426163404,6343285347,ivapron00169:kggee7k7,328.19,VAPRON,2S,19-OCT-2020,ivapron00169,ivapron00000,.00
78,100002426023311,2312005583,ivapron00109:kggeipk8,238.68,VAPRON,SL,19-OCT-2020,ivapron00109,ivapron00000,.00
79,100002426133380,2640663574,ivapron00124:kggelmak,338.19,VAPRON,2S,19-OCT-2020,ivapron00124,ivapron00000,.00
80,100002426133477,2312006803,ivapron00124:kggfi6c1,603.19,VAPRON,SL,19-OCT-2020,ivapron00124,ivapron00000,.00
81,100002426133492,6343286251,ivapron00124:kggfoy5m,303.19,VAPRON,2S,19-OCT-2020,ivapron00124,ivapron00000,.00
82,100002425912588,4726050672,ivapron00005:kgghg6zk,487.70,VAPRON,2S,19-OCT-2020,ivapron00005,ivapron00000,.00
83,100002426169996,8332546558,ivapron00059:kggi9l90,292.70,VAPRON,2S,19-OCT-2020,ivapron00059,ivapron00000,.00
84,100002425940898,2312009351,ivapron00141:kggieag4,3336.38,VAPRON,3A,19-OCT-2020,ivapron00141,ivapron00000,.00
85,100002426125956,2640667861,ivapron00116:kggj68lr,878.68,VAPRON,SL,19-OCT-2020,ivapron00116,ivapron00000,.00
86,100002426026754,2540666075,ivapron00047:kgghe9m3,298.68,VAPRON,2S,19-OCT-2020,ivapron00047,ivapron00000,.00
87,100002426061865,6143287771,ivapron00100:kgh93by0,2400.89,VAPRON,3A,19-OCT-2020,ivapron00100,ivapron00000,.00
88,100002426099427,6543285890,ivapron00011:kggfd5f5,182.70,VAPRON,2S,19-OCT-2020,ivapron00011,ivapron00000,.00
89,100002426099504,6805650908,ivapron00030:kggfyhpa,782.70,VAPRON,SL,19-OCT-2020,ivapron00030,ivapron00000,.00
90,100002426167464,4518337015,ivapron00139:kggfhj98,1033.19,VAPRON,SL,19-OCT-2020,ivapron00139,ivapron00000,.00
91,100002426038467,6143285915,ivapron00029:kggfme7t,222.70,VAPRON,SL,19-OCT-2020,ivapron00029,ivapron00000,.00
92,100002426133524,2112006817,ivapron00124:kggfviwx,738.68,VAPRON,2S,19-OCT-2020,ivapron00124,ivapron00000,.00
93,100002426097524,6243286384,ivapron00146:kggfscz2,4367.70,VAPRON,SL,19-OCT-2020,ivapron00146,ivapron00000,.00
94,100002426097550,2312007242,ivapron00146:kggg4yfx,947.70,VAPRON,2S,19-OCT-2020,ivapron00146,ivapron00000,.00
95,100002426097602,6243286698,ivapron00146:kgggj9n4,3642.70,VAPRON,SL,19-OCT-2020,ivapron00146,ivapron00000,.00
96,100002426026585,2759306049,ivapron00047:kggfz8yg,148.19,VAPRON,2S,19-OCT-2020,ivapron00047,ivapron00000,.00
97,100002425999487,8806270107,ivapron00117:kggg0lu8,2267.70,VAPRON,2S,19-OCT-2020,ivapron00117,ivapron00000,.00
98,100002425994530,6743286454,ivapron00094:kggg54wx,1595.40,VAPRON,3A,19-OCT-2020,ivapron00094,ivapron00000,.00
99,100002425999511,8806270230,ivapron00117:kgggc4lu,392.70,VAPRON,2S,19-OCT-2020,ivapron00117,ivapron00000,.00
100,100002426180548,8806270640,ivapron00116:kgggsqqn,178.19,VAPRON,2S,19-OCT-2020,ivapron00116,ivapron00000,.00
101,100002426176581,2859306895,ivapron00057:kgggus6f,483.19,VAPRON,SL,19-OCT-2020,ivapron00057,ivapron00000,.00
102,100002426063669,8632546119,ivapron00182:kgggvb6z,772.70,VAPRON,SL,19-OCT-2020,ivapron00182,ivapron00000,.00
103,100002426038681,6343287139,ivapron00029:kggh29ya,990.40,VAPRON,3A,19-OCT-2020,ivapron00029,ivapron00000,.00
104,100002426021722,2312008169,ivapron00141:kggh3uef,5016.38,VAPRON,3A,19-OCT-2020,ivapron00141,ivapron00000,.00
105,100002426169843,2312008175,ivapron00105:kggh6bg9,848.19,VAPRON,SL,19-OCT-2020,ivapron00105,ivapron00000,.00
106,100002425918663,6443287108,ivapron00118:kgghcuyx,1930.40,VAPRON,3A,19-OCT-2020,ivapron00118,ivapron00000,.00
107,100002425949764,6543287214,ivapron00090:kggh9fjc,868.68,VAPRON,SL,19-OCT-2020,ivapron00090,ivapron00000,.00
108,100002426157780,8332546593,ivapron00189:kgghl8o9,252.70,VAPRON,SL,19-OCT-2020,ivapron00189,ivapron00000,.00
109,100002426133753,2859307361,ivapron00124:kgghk1gy,788.68,VAPRON,SL,19-OCT-2020,ivapron00124,ivapron00000,.00
110,100002426097749,8432546442,ivapron00146:kgghmb8z,1497.70,VAPRON,SL,19-OCT-2020,ivapron00146,ivapron00000,.00
111,100002425994838,2759307917,ivapron00094:kggi5xmt,3159.66,VAPRON,SL,19-OCT-2020,ivapron00094,ivapron00000,.00
112,100002425994872,2312009145,ivapron00094:kggig5cg,662.70,VAPRON,SL,19-OCT-2020,ivapron00094,ivapron00000,.00
113,100002426176774,2212009254,ivapron00057:kggif4p9,1258.68,VAPRON,SL,19-OCT-2020,ivapron00057,ivapron00000,.00
114,100002426099869,2412009514,ivapron00011:kggilr2l,527.70,VAPRON,SL,19-OCT-2020,ivapron00011,ivapron00000,.00
115,100002426191800,2312009680,ivapron00133:kggiwq0f,403.19,VAPRON,SL,19-OCT-2020,ivapron00133,ivapron00000,.00
116,100002426191835,8632546839,ivapron00133:kggjatjh,787.70,VAPRON,SL,19-OCT-2020,ivapron00133,ivapron00000,.00
117,100002426191852,6343288713,ivapron00133:kggjfl1x,232.70,VAPRON,SL,19-OCT-2020,ivapron00133,ivapron00000,.00
118,100002426191874,2859309125,ivapron00133:kggjpkxj,388.68,VAPRON,SL,19-OCT-2020,ivapron00133,ivapron00000,.00
119,100002426191912,2412010963,ivapron00133:kggjzzyn,777.70,VAPRON,2S,19-OCT-2020,ivapron00133,ivapron00000,.00
120,100002426280003,8132546993,ivapron00189:kggj4yyc,268.19,VAPRON,2S,19-OCT-2020,ivapron00189,ivapron00000,.00
121,100002426097977,6343288285,ivapron00146:kggj43o4,1790.89,VAPRON,3A,19-OCT-2020,ivapron00146,ivapron00000,.00
122,100002426280101,8806272330,ivapron00189:kggjs8qj,948.68,VAPRON,SL,19-OCT-2020,ivapron00189,ivapron00000,.00
123,100002426312127,2540668790,ivapron00180:kggjz08k,138.19,VAPRON,2S,19-OCT-2020,ivapron00180,ivapron00000,.00
124,100002426191946,6143289287,ivapron00133:kggk7cp4,438.19,VAPRON,SL,19-OCT-2020,ivapron00133,ivapron00000,.00
125,100002426191984,6443289366,ivapron00133:kggkgdwf,1170.89,VAPRON,3A,19-OCT-2020,ivapron00133,ivapron00000,.00
126,100002426336150,8132547869,ivapron00182:kggkii7b,607.70,VAPRON,SL,19-OCT-2020,ivapron00182,ivapron00000,.00
127,100002426336167,6143289608,ivapron00182:kggkp9q3,607.70,VAPRON,SL,19-OCT-2020,ivapron00182,ivapron00000,.00
128,100002426334172,2640669295,ivapron00168:kggknw91,238.19,VAPRON,2S,19-OCT-2020,ivapron00168,ivapron00000,.00
129,100002426342163,2112011440,ivapron00118:kggks52g,118.19,VAPRON,2S,19-OCT-2020,ivapron00118,ivapron00000,.00
130,100002426302286,2312011685,ivapron00146:kgglclxb,238.68,VAPRON,2S,19-OCT-2020,ivapron00146,ivapron00000,.00
131,100002426197839,6643290115,ivapron00134:kggldt19,1277.70,VAPRON,SL,19-OCT-2020,ivapron00134,ivapron00000,.00
132,100002426197849,6643290056,ivapron00134:kggliavp,542.70,VAPRON,SL,19-OCT-2020,ivapron00134,ivapron00000,.00
133,100002426340253,2212012120,ivapron00011:kgglntfm,1037.70,VAPRON,SL,19-OCT-2020,ivapron00011,ivapron00000,.00
134,100002426200983,6443290387,ivapron00140:kggluk0m,540.89,VAPRON,3A,19-OCT-2020,ivapron00140,ivapron00000,.00
135,100002426382004,6243290391,ivapron00140:kgglzamz,540.89,VAPRON,3A,19-OCT-2020,ivapron00140,ivapron00000,.00
136,100002426220623,4726053136,ivapron00159:kgglw9if,512.70,VAPRON,SL,19-OCT-2020,ivapron00159,ivapron00000,.00
137,100002426197951,2112012697,ivapron00134:kggm8b2z,1547.70,VAPRON,SL,19-OCT-2020,ivapron00134,ivapron00000,.00
138,100002426241639,6443291269,ivapron00116:kggn7zih,1069.17,VAPRON,2S,19-OCT-2020,ivapron00116,ivapron00000,.00
139,100002426241723,2112013719,ivapron00116:kggnw0n8,1438.68,VAPRON,SL,19-OCT-2020,ivapron00116,ivapron00000,.00
140,100002426330505,2312012895,ivapron00133:kggmipsi,228.19,VAPRON,SL,19-OCT-2020,ivapron00133,ivapron00000,.00
141,100002426278571,2759311913,ivapron00124:kggmlawn,738.68,VAPRON,2S,19-OCT-2020,ivapron00124,ivapron00000,.00
142,100002426258581,6643291317,ivapron00119:kggn04rt,1819.17,VAPRON,SL,19-OCT-2020,ivapron00119,ivapron00000,.00
143,100002426226805,6805655613,ivapron00002:kggn1uek,482.70,VAPRON,SL,19-OCT-2020,ivapron00002,ivapron00000,.00
144,100002426406063,4106080468,ivapron00005:kggohbjr,1890.40,VAPRON,2A,19-OCT-2020,ivapron00005,ivapron00000,.00
145,100002426362464,2640672831,ivapron00057:kggows1f,898.68,VAPRON,SL,19-OCT-2020,ivapron00057,ivapron00000,.00
146,100002426362476,2859313931,ivapron00057:kggp24hw,458.19,VAPRON,SL,19-OCT-2020,ivapron00057,ivapron00000,.00
147,100002426355909,6343292498,ivapron00090:kggpfu0k,1719.66,VAPRON,SL,19-OCT-2020,ivapron00090,ivapron00000,.00
148,100002426472017,2759314366,ivapron00205:kggpqmwm,1652.70,VAPRON,SL,19-OCT-2020,ivapron00205,ivapron00000,.00
149,100002426472026,2212015161,ivapron00205:kggptxav,497.70,VAPRON,SL,19-OCT-2020,ivapron00205,ivapron00000,.00
150,100002426344980,2640673410,ivapron00089:kggpvyav,483.19,VAPRON,SL,19-OCT-2020,ivapron00089,ivapron00000,.00
151,100002426356000,6143293285,ivapron00090:kggq121p,5210.64,VAPRON,SL,19-OCT-2020,ivapron00090,ivapron00000,.00
152,100002426450142,2312015742,ivapron00053:kggq8507,638.68,VAPRON,2S,19-OCT-2020,ivapron00053,ivapron00000,.00
153,100002426450179,2540673845,ivapron00053:kggqkx73,328.19,VAPRON,2S,19-OCT-2020,ivapron00053,ivapron00000,.00
154,100002426516020,2412015942,ivapron00090:kggqe3wf,5210.64,VAPRON,SL,19-OCT-2020,ivapron00090,ivapron00000,.00
155,100002426495138,2640674147,ivapron00133:kggqoe5w,2236.38,VAPRON,3A,19-OCT-2020,ivapron00133,ivapron00000,.00
156,100002426399407,4206081226,ivapron00159:kggqsdeg,542.70,VAPRON,SL,19-OCT-2020,ivapron00159,ivapron00000,.00
157,100002426535007,6743293675,ivapron00030:kggqtoif,2719.66,VAPRON,SL,19-OCT-2020,ivapron00030,ivapron00000,.00
158,100002426450327,2412016776,ivapron00053:kggrn0p8,297.70,VAPRON,2S,19-OCT-2020,ivapron00053,ivapron00000,.00
159,100002426450341,2859315885,ivapron00053:kggrujm4,233.19,VAPRON,SL,19-OCT-2020,ivapron00053,ivapron00000,.00
160,100002426535063,2859315070,ivapron00030:kggr9rvy,2417.70,VAPRON,2S,19-OCT-2020,ivapron00030,ivapron00000,.00
161,100002426509254,4518342097,ivapron00159:kggrmtm5,182.70,VAPRON,SL,19-OCT-2020,ivapron00159,ivapron00000,.00
162,100002426450426,6805658334,ivapron00053:kggsfq8k,1054.17,VAPRON,2S,19-OCT-2020,ivapron00053,ivapron00000,.00
163,100002426450455,6243294452,ivapron00053:kggstm36,1008.68,VAPRON,SL,19-OCT-2020,ivapron00053,ivapron00000,.00
164,100002426500353,4306081536,ivapron00011:kggsjli7,4305.40,VAPRON,2A,19-OCT-2020,ivapron00011,ivapron00000,.00
