SlNo,TRANSACTION_ID,PNR_NO,CLIENT TRANSACTION ID,BOOKING_AMOUNT,PG NAME,CLASS,TRANSACTION_DATE,USER_ID,PRINCIPAL_USER_ID, AMC_Charge(Including GST)
1,100002425210950,2859285420,ivapron00131:kgfwwgwy,442.70,VAPRON,2S,19-OCT-2020,ivapron00131,ivapron00000,.00
2,100002425381224,4406066668,ivapron00011:kgfz44bf,1027.70,VAPRON,SL,19-OCT-2020,ivapron00011,ivapron00000,.00
3,100002425381285,2411987887,ivapron00011:kgfzlfyd,462.70,VAPRON,SL,19-OCT-2020,ivapron00011,ivapron00000,.00
4,100002425420545,6443274308,ivapron00052:kgg30dcz,1635.40,VAPRON,3A,19-OCT-2020,ivapron00052,ivapron00000,.00
5,100002425502298,6805638823,ivapron00100:kggtpp0l,2269.17,VAPRON,SL,19-OCT-2020,ivapron00100,ivapron00000,.00
6,100002425381667,6743273501,ivapron00011:kgg1yzzn,4337.70,VAPRON,SL,19-OCT-2020,ivapron00011,ivapron00000,.00
7,100002425415650,2540649504,ivapron00146:kgg39jrd,137.70,VAPRON,2S,19-OCT-2020,ivapron00146,ivapron00000,.00
8,100002425415902,2859292176,ivapron00146:kgg3ru0q,247.70,VAPRON,SL,19-OCT-2020,ivapron00146,ivapron00000,.00
9,100002425561248,2540652895,ivapron00131:kgg4goss,768.19,VAPRON,SL,19-OCT-2020,ivapron00131,ivapron00000,.00
10,100002425564271,6805642056,ivapron00030:kgg4ow86,1042.70,VAPRON,SL,19-OCT-2020,ivapron00030,ivapron00000,.00
11,100002425637023,4618874371,ivapron00109:kgg56cci,1088.19,VAPRON,SL,19-OCT-2020,ivapron00109,ivapron00000,.00
12,100002425558429,4106070733,ivapron00011:kgg57a23,3137.70,VAPRON,SL,19-OCT-2020,ivapron00011,ivapron00000,.00
13,100002425558543,6343278570,ivapron00011:kgg5qhmi,4337.70,VAPRON,SL,19-OCT-2020,ivapron00011,ivapron00000,.00
14,100002425624089,8806262721,ivapron00154:kgg58qrw,1760.89,VAPRON,3A,19-OCT-2020,ivapron00154,ivapron00000,.00
15,100002425637055,4618874545,ivapron00109:kgg5bu0n,2595.15,VAPRON,2S,19-OCT-2020,ivapron00109,ivapron00000,.00
16,100002425564390,6343278163,ivapron00030:kgg5a8yp,2400.89,VAPRON,3A,19-OCT-2020,ivapron00030,ivapron00000,.00
17,100002425564432,6243278016,ivapron00030:kgg5lu3z,77.70,VAPRON,2S,19-OCT-2020,ivapron00030,ivapron00000,.00
18,100002425594303,2211996555,ivapron00146:kgg5caje,1417.70,VAPRON,SL,19-OCT-2020,ivapron00146,ivapron00000,.00
19,100002425594772,2211999395,ivapron00146:kgg7ujpu,2345.15,VAPRON,SL,19-OCT-2020,ivapron00146,ivapron00000,.00
20,100002425679168,6643279442,ivapron00100:kggx3tka,738.68,VAPRON,2S,19-OCT-2020,ivapron00100,ivapron00000,.00
21,100002425594497,2311997533,ivapron00146:kgg6h5n0,263.19,VAPRON,2S,19-OCT-2020,ivapron00146,ivapron00000,.00
22,100002425594825,2859298508,ivapron00146:kgg83h02,207.70,VAPRON,2S,19-OCT-2020,ivapron00146,ivapron00000,.00
23,100002425738025,2640657740,ivapron00131:kgg8bcm8,273.19,VAPRON,2S,19-OCT-2020,ivapron00131,ivapron00000,.00
24,100002425561969,2111999643,ivapron00131:kgg82zfk,433.19,VAPRON,SL,19-OCT-2020,ivapron00131,ivapron00000,.00
25,100002425717143,2411999733,ivapron00159:kgg7qifs,647.70,VAPRON,SL,19-OCT-2020,ivapron00159,ivapron00000,.00
26,100002425709490,4406072989,ivapron00117:kgg9ky7l,192.70,VAPRON,2S,19-OCT-2020,ivapron00117,ivapron00000,.00
27,100002425749086,6543281404,ivapron00057:kgg8xb8h,733.19,VAPRON,SL,19-OCT-2020,ivapron00057,ivapron00000,.00
28,100002425749191,6643281780,ivapron00057:kgg9ecv8,698.19,VAPRON,SL,19-OCT-2020,ivapron00057,ivapron00000,.00
29,100002425749212,8232542692,ivapron00057:kgg9ivhf,483.19,VAPRON,SL,19-OCT-2020,ivapron00057,ivapron00000,.00
30,100002425709372,8432542257,ivapron00111:kgg8p863,187.70,VAPRON,2S,19-OCT-2020,ivapron00111,ivapron00000,.00
31,100002425709394,4406073311,ivapron00117:kgg91on9,142.70,VAPRON,2S,19-OCT-2020,ivapron00117,ivapron00000,.00
32,100002425709428,6543281995,ivapron00111:kgg93cvn,872.70,VAPRON,2S,19-OCT-2020,ivapron00111,ivapron00000,.00
33,100002425709431,2112000638,ivapron00117:kgg96oq9,1208.68,VAPRON,SL,19-OCT-2020,ivapron00117,ivapron00000,.00
34,100002425709475,8806266513,ivapron00117:kgg9hphj,313.19,VAPRON,SL,19-OCT-2020,ivapron00117,ivapron00000,.00
35,100002425709481,2412001536,ivapron00111:kgg9aon0,627.70,VAPRON,2S,19-OCT-2020,ivapron00111,ivapron00000,.00
36,100002425708502,4106073230,ivapron00139:kgg9c3ek,1288.68,VAPRON,SL,19-OCT-2020,ivapron00139,ivapron00000,.00
37,100002425749218,2640659025,ivapron00057:kgg9lssk,428.19,VAPRON,SL,19-OCT-2020,ivapron00057,ivapron00000,.00
38,100002425946083,6805648688,ivapron00116:kggchukx,2120.64,VAPRON,2S,19-OCT-2020,ivapron00116,ivapron00000,.00
39,100002425946094,6743284038,ivapron00116:kggcnd96,2120.64,VAPRON,2S,19-OCT-2020,ivapron00116,ivapron00000,.00
40,100002425946107,6743284473,ivapron00116:kggcs09o,2120.64,VAPRON,2S,19-OCT-2020,ivapron00116,ivapron00000,.00
41,100002425946145,6643284588,ivapron00116:kggd1372,1419.66,VAPRON,2S,19-OCT-2020,ivapron00116,ivapron00000,.00
42,100002425946162,6643284428,ivapron00116:kggd5baz,1069.17,VAPRON,2S,19-OCT-2020,ivapron00116,ivapron00000,.00
43,100002426009171,2640662768,ivapron00081:kggctmog,1059.66,VAPRON,2S,19-OCT-2020,ivapron00081,ivapron00000,.00
44,100002425708540,4406073288,ivapron00139:kgg9i0on,2635.89,VAPRON,3A,19-OCT-2020,ivapron00139,ivapron00000,.00
45,100002425804098,6443282208,ivapron00044:kgg9ppdk,2675.40,VAPRON,3A,19-OCT-2020,ivapron00044,ivapron00000,.00
46,100002425804144,6443282355,ivapron00044:kgg9uuaw,972.70,VAPRON,SL,19-OCT-2020,ivapron00044,ivapron00000,.00
47,100002425804185,6805647102,ivapron00044:kgg9zo3h,1135.40,VAPRON,3A,19-OCT-2020,ivapron00044,ivapron00000,.00
48,100002425876182,6643282709,ivapron00029:kgg9wvm1,2104.17,VAPRON,SL,19-OCT-2020,ivapron00029,ivapron00000,.00
49,100002425773223,4106073366,ivapron00143:kgga1fy8,472.70,VAPRON,SL,19-OCT-2020,ivapron00143,ivapron00000,.00
50,100002425847251,2640659629,ivapron00057:kgga47jl,777.70,VAPRON,SL,19-OCT-2020,ivapron00057,ivapron00000,.00
51,100002425872347,6543282579,ivapron00139:kgga9yph,3779.66,VAPRON,SL,19-OCT-2020,ivapron00139,ivapron00000,.00
52,100002425872431,6743283063,ivapron00139:kggafv3e,4720.15,VAPRON,SL,19-OCT-2020,ivapron00139,ivapron00000,.00
53,100002425793468,2759301427,ivapron00026:kggai9z0,1007.70,VAPRON,SL,19-OCT-2020,ivapron00026,ivapron00000,.00
54,100002425836529,8532543222,ivapron00144:kggan94h,4457.70,VAPRON,SL,19-OCT-2020,ivapron00144,ivapron00000,.00
55,100002425836598,2640660413,ivapron00144:kggauyyp,652.70,VAPRON,SL,19-OCT-2020,ivapron00144,ivapron00000,.00
56,100002425836651,2312002608,ivapron00144:kggayn0q,3070.15,VAPRON,SL,19-OCT-2020,ivapron00144,ivapron00000,.00
57,100002425766624,6805647324,ivapron00052:kggaqxrl,2417.70,VAPRON,2S,19-OCT-2020,ivapron00052,ivapron00000,.00
58,100002425766696,6343283198,ivapron00052:kggaz6yp,2017.70,VAPRON,2S,19-OCT-2020,ivapron00052,ivapron00000,.00
59,100002425804682,8332543331,ivapron00143:kggaqogh,4136.38,VAPRON,3A,19-OCT-2020,ivapron00143,ivapron00000,.00
60,100002425835782,4106074132,ivapron00117:kggb8c8y,192.70,VAPRON,2S,19-OCT-2020,ivapron00117,ivapron00000,.00
61,100002425839762,6443283372,ivapron00079:kggb7z7b,448.19,VAPRON,SL,19-OCT-2020,ivapron00079,ivapron00000,.00
62,100002425872817,6143283374,ivapron00139:kggbak7t,958.19,VAPRON,SL,19-OCT-2020,ivapron00139,ivapron00000,.00
63,100002426154049,2640661119,ivapron00095:kggbwgnz,252.70,VAPRON,2S,19-OCT-2020,ivapron00095,ivapron00000,.00
64,100002425946036,6243283976,ivapron00116:kggbxvva,2120.64,VAPRON,2S,19-OCT-2020,ivapron00116,ivapron00000,.00
65,100002425946052,6743284172,ivapron00116:kggc5zeq,2120.64,VAPRON,2S,19-OCT-2020,ivapron00116,ivapron00000,.00
66,100002425946070,6805648615,ivapron00116:kggcb234,2120.64,VAPRON,2S,19-OCT-2020,ivapron00116,ivapron00000,.00
67,100002426159192,2540662127,ivapron00159:kggclic7,667.70,VAPRON,SL,19-OCT-2020,ivapron00159,ivapron00000,.00
68,100002426159218,4206074864,ivapron00159:kggcsetw,667.70,VAPRON,SL,19-OCT-2020,ivapron00159,ivapron00000,.00
69,100002425997108,8132544301,ivapron00140:kggcnm6w,2080.89,VAPRON,2A,19-OCT-2020,ivapron00140,ivapron00000,.00
70,100002425997150,6143284694,ivapron00140:kggcu3c3,3376.38,VAPRON,2A,19-OCT-2020,ivapron00140,ivapron00000,.00
71,100002425948102,2312004245,ivapron00079:kggcoqs2,363.19,VAPRON,2S,19-OCT-2020,ivapron00079,ivapron00000,.00
72,100002425953091,6805649162,ivapron00053:kggcslt7,528.19,VAPRON,SL,19-OCT-2020,ivapron00053,ivapron00000,.00
