MEMBER_ID
TIQ05939
TIQ02519
TIQ09929
TIQ06536
TIQ08844
TIQ07453
TIQ02427
TIQ07928
TIQ00301
TIQ03301
TIQ00068
TIQ08777
TIQ08455
TIQ04118
TIQ02408
TIQ00538
TIQ04341
TIQ07512
TIQ04986
TIQ04436
TIQ04469
TIQ06310
TIQ00734
TIQ02643
TIQ08442
TIQ00213
TIQ00276
TIQ01441
TIQ06062
TIQ00962
TIQ02708
TIQ04425
TIQ04507
TIQ01550
TIQ01132
TIQ05818
TIQ08778
