SlNo,TRANSACTION_ID,PNR_NO,OPERATOR_ID,PG NAME,CLASS,REFUND_AMOUNT,WAITING_AUTO_CANCELLED,TRANSACTION_DATE,ACTUAL_REFUND_DATE,TDR_CAN,USER_ID,PRINCIPAL_USER_ID,CANCELLATION_ID
1,100002442849663,6143701372,,BOOM ,3A,2015.00,No,22-NOV-2020 11:59:56,25-NOV-2020,CAN,iboomtl00072,iboomtl00000,100000455214008
2,100002433505846,2212245861,,BOOM ,3A,2345.00,No,24-NOV-2020 16:38:53,25-NOV-2020,CAN,iboomtl00062,iboomtl00000,100000455725868
3,100002442849757,4726373996,,BOOM ,SL,280.00,No,22-NOV-2020 12:01:12,25-NOV-2020,CAN,iboomtl00072,iboomtl00000,100000455214010
4,100002411219017,2758882958,,BOOM ,SL,555.00,No,03-OCT-2020 11:31:43,25-NOV-2020,CAN,iboomtl00034,iboomtl00000,100000446682971
5,100002433715101,4619019374,,BOOM ,3A,2345.00,No,24-NOV-2020 16:46:34,25-NOV-2020,CAN,iboomtl00062,iboomtl00000,100000455725882
6,100002458959113,2112985428,,BOOM ,2S,525.00,No,24-NOV-2020 10:26:50,25-NOV-2020,CAN,iboomtl00067,iboomtl00000,100000455597335
7,100002459012861,2212990931,,BOOM ,SL,3180.00,No,23-NOV-2020 22:05:42,25-NOV-2020,CAN,iboomtl00034,iboomtl00000,100000455559071
8,100002458810163,2112980675,,BOOM ,3A,895.00,No,23-NOV-2020 00:42:11,25-NOV-2020,CAN,iboomtl00018,iboomtl00000,100000455345444
