SlNo,TRANSACTION_ID,PNR_NO,OPERATOR_ID,PG NAME,CLASS,REFUND_AMOUNT,WAITING_AUTO_CANCELLED,TRANSACTION_DATE,ACTUAL_REFUND_DATE,TDR_CAN,USER_ID,PRINCIPAL_USER_ID,CANCELLATION_ID
1,100002476205482,2760766014,,BOOM ,SL,640.00,Yes,09-DEC-2020 13:29:36,12-DEC-2020,CAN,iboomtl00018,iboomtl00000,100000458993075
2,100002478907551,2642204883,,BOOM ,SL,1030.00,No,11-DEC-2020 09:32:04,12-DEC-2020,CAN,iboomtl00073,iboomtl00000,100000459294398
3,100002480784849,2760897639,,BOOM ,2S,75.00,No,11-DEC-2020 19:14:52,12-DEC-2020,CAN,iboomtl00031,iboomtl00000,100000459439903
4,100002480508486,2113588283,,BOOM ,3A,3950.00,No,11-DEC-2020 19:42:55,12-DEC-2020,CAN,iboomtl00018,iboomtl00000,100000459448470
5,100002478907508,2213546433,,BOOM ,SL,325.00,No,11-DEC-2020 17:49:14,12-DEC-2020,CAN,iboomtl00073,iboomtl00000,100000459430665
6,100002477797677,6444632717,,BOOM ,SL,585.00,Yes,11-DEC-2020 13:28:42,12-DEC-2020,CAN,iboomtl00011,iboomtl00000,100000459393951
7,100002475486320,6806929816,,BOOM ,3A,1590.00,No,09-DEC-2020 12:52:45,12-DEC-2020,CAN,iboomtl00018,iboomtl00000,100000458957897
